order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,status,payment_method,region
ORD002817,C00340,P0084,2025-07-02,7,464.88,,pending,upi,West
ORD002687,C00239,P0050,2025-07-17,2,$685.4,1370.8,Completed,credit_card,Central
ORD002990,C00597,P0104,2025-09-01,7,894.0,6258.0,Cancelled,upi,West
ORD000663,C01394,P0277,2025-06-05,3,161.52,484.56,cancelled,debit_card,Central
ORD003112,C00050,P0271,2025-11-06,6,714.22,4285.32,Pending,upi,West
ORD002068,C01146,P0013,18/07/2025,6,333.11,1998.66,completed,upi,South
ORD003466,C00127,P0017,01/04/2026,2,206.99,413.98,Completed,upi,North
ORD003639,C00685,P0086,2025-05-15,1,504.35,504.35,COMPLETED,debit_card,East
ORD001489,C00049,P0133,2025-06-30,9,1119.18,10072.62,completed,cod,North
ORD000478,C00348,P0269,27/09/2025,3,340.01,1020.03,pending,credit_card,North
ORD002675,C00335,P0243,2025-06-21,4,609.22,,completed,debit_card,Central
ORD000431,C01413,P0094,10/03/2026,4,202.8,811.2,Pending,paypal,Central
ORD000919,C00167,P0039,2025-12-27,4,189.41,757.64,Cancelled,credit_card,North
ORD003895,C00120,P0276,2025-08-25,2,139.31,278.62,cancelled,cod,East
ORD001431,C00168,P0059,30/10/2025,10,586.68,5866.8,Pending,credit_card,East
ORD002424,C00327,P0248,2025-05-30,9,130.48,1174.32,Completed,debit_card,East
ORD001132,C00664,P0278,2025-07-04,2,883.59,1767.18,Completed,cod,West
ORD003324,C01405,P0222,31/10/2025,5,568.49,2842.45,Completed,upi,West
ORD000547,C00187,P0267,2025-05-13,6,362.85,2177.1,Pending,upi,Central
ORD002639,C00307,P0087,2025-11-10,9,229.39,2064.51,Completed,upi,East
ORD003163,C00853,P0053,2025-06-30,5,170.71,853.55,Completed,debit_card,South
ORD003055,C00491,P0209,2025-10-10,8,734.66,5877.28,cancelled,cod,West
ORD002901,C01131,P0020,16/06/2025,4,694.42,2777.68,Pending,paypal,North
ORD003921,C00670,P0107,15/04/2025,3,860.67,2582.01,COMPLETED,upi,North
ORD000545,C00505,P0174,01/06/2025,6,658.31,3949.86,Cancelled,upi,North
ORD003554,C01163,P0056,2026-03-23,6,622.25,3733.5,Cancelled,credit_card,South
ORD003933,C00807,P0084,2025-11-29,2,464.88,929.76,Pending,cod,Central
ORD002366,C00157,P0147,2025-05-12,2,802.07,1604.14,cancelled,paypal,North
ORD000940,C00301,P0266,2025-07-30,1,$619.03,619.03,completed,debit_card,South
ORD002626,C00676,P0255,2026-03-08,7,86.61,,pending,cod,East
ORD003651,C00830,P0194,2025-11-24,7,727.7,5093.9,pending,credit_card,East
ORD001332,C00354,P0053,05/01/2026,3,170.71,512.13,Completed,debit_card,South
ORD002085,C01128,P0096,2025-08-04,10,225.38,2253.8,completed,upi,East
ORD002588,C00236,P0263,2025-11-13,10,541.59,5415.9,COMPLETED,debit_card,West
ORD000486,C01172,P0006,2026-01-15,8,67.49,539.92,Cancelled,cod,West
ORD000440,C00702,P0227,2025-06-07,9,$513.0,4617.0,COMPLETED,debit_card,East
ORD000756,C00528,P0154,2025-10-02,2,54.38,108.76,COMPLETED,debit_card,West
ORD003089,C00748,P0124,2025-04-24,4,656.86,2627.44,COMPLETED,credit_card,East
ORD001982,C00179,P0155,2026-03-23,7,185.97,1301.79,completed,paypal,South
ORD002383,C01226,P0035,2025-06-25,4,261.56,1046.24,Cancelled,paypal,South
ORD001992,C00904,P0149,2025-09-13,5,139.4,697.0,completed,cod,East
ORD002547,C00929,P0284,16/11/2025,2,$661.6,1323.2,COMPLETED,paypal,Central
ORD000281,C01364,P0300,2026-04-11,3,202.15,606.45,completed,credit_card,West
ORD001115,C01187,P0291,2025-05-26,7,256.19,1793.33,Cancelled,cod,North
ORD000969,C00307,P0137,21/03/2026,2,121.94,243.88,Cancelled,paypal,South
ORD000862,C01086,P0141,2026-04-13,3,659.11,1977.33,COMPLETED,paypal,Central
ORD001487,C00981,P0131,2025-06-26,9,908.02,8172.18,cancelled,upi,South
ORD000802,C00778,P0133,01/08/2025,3,1119.18,3357.54,Pending,paypal,North
ORD000463,C01465,P0182,23/07/2025,10,138.83,1388.3,COMPLETED,credit_card,North
ORD003086,C00118,P0243,2026-01-24,3,609.22,,Completed,upi,Central
ORD000255,C01133,P0157,14/02/2026,4,353.62,1414.48,completed,debit_card,West
ORD001921,C00925,P0210,2026-02-23,1,339.24,339.24,Completed,debit_card,Central
ORD002738,C00781,P0164,2025-04-26,6,967.51,5805.06,cancelled,cod,East
ORD000635,C00140,P0033,20/01/2026,3,358.31,1074.93,COMPLETED,credit_card,East
ORD002609,C01394,P0055,2026-01-20,4,1106.64,4426.56,COMPLETED,credit_card,East
ORD002956,C00971,P0046,2026-04-09,1,478.19,478.19,Cancelled,upi,East
ORD002098,C00279,P0011,2026-03-06,5,142.1,710.5,pending,debit_card,East
ORD003987,C00253,P0279,23/06/2025,2,879.13,,Completed,cod,East
ORD002992,C00542,P0243,2025-09-17,2,$609.22,,Cancelled,cod,East
ORD002823,C00481,P0264,2026-02-12,5,508.37,2541.85,cancelled,upi,West
ORD003535,C00423,P0241,2025-05-25,6,754.86,4529.16,Completed,debit_card,Central
ORD003852,C00177,P0059,2025-10-01,6,586.68,3520.08,completed,debit_card,East
ORD002849,C01324,P0207,08/08/2025,8,459.21,3673.68,completed,paypal,Central
ORD000842,C00751,P0105,2025-10-31,5,129.92,649.6,Cancelled,debit_card,West
ORD003850,C00044,P0270,08/04/2026,3,$323.84,971.52,completed,paypal,North
ORD000504,C00495,P0186,2025-06-17,8,243.37,1946.96,cancelled,credit_card,East
ORD002321,C00669,P0178,13/09/2025,5,984.66,4923.3,Pending,debit_card,West
ORD000462,C00531,P0078,2026-01-11,4,531.7,2126.8,cancelled,debit_card,Central
ORD000882,C00671,P0255,16/10/2025,7,86.61,606.27,Cancelled,cod,Central
ORD003638,C00903,P0057,2025-10-06,7,$964.38,6750.66,pending,cod,West
ORD002809,C01148,P0266,2025-10-20,3,619.03,,Pending,upi,North
ORD000659,C00475,P0251,28/10/2025,1,$620.86,620.86,Cancelled,upi,Central
ORD001630,C00349,P0202,28/09/2025,8,407.46,,Cancelled,paypal,North
ORD003916,C01308,P0185,2025-10-31,6,874.59,5247.54,Pending,debit_card,Central
ORD000893,C00874,P0066,2025-12-11,1,1059.0,1059.0,completed,cod,South
ORD000676,C00932,P0049,2026-02-22,7,364.94,2554.58,completed,paypal,East
ORD003819,C01153,P0281,2025-06-04,9,44.57,401.13,cancelled,cod,South
ORD002038,C00135,P0212,2025-11-22,8,1178.55,9428.4,Completed,cod,South
ORD003318,C01474,P0243,2025-05-07,7,609.22,4264.54,pending,credit_card,Central
ORD000277,C01244,P0027,2026-01-24,8,186.92,1495.36,COMPLETED,cod,East
ORD000576,C01284,P0065,31/08/2025,6,166.14,996.84,pending,upi,West
